Topic,Claim (Fake News),Who Said It,Date,Actual Rating,Proof Link,clean_text,local_image_path
Deepfake,Donald Trump Blaming India For The Floods In Pakistan,FB User Waheed Asghar Bhatti,2025-09-03T09:54:58Z,False,https://www.vishvasnews.com/english/ai-check/fact-check-deepfake-video-falsely-shows-donald-trump-blaming-india-for-the-floods-in-pakistan/,donald trump blaming india flood pakistan,images/news_12.jpg
Deepfake,Video shows US President Donald Trump claiming India caused the floods in Pakistan.,Social media users,2025-09-01T09:10:29Z,False,https://www.boomlive.in/fact-check/trump-fake-video-claims-india-caused-pakistan-floods-fact-check-29430,video show u president donald trump claiming india caused flood pakistan,images/news_13.jpg
Deepfake,"This video shows Rajdeep Sardesai, Nirmala Sitharaman, Azim Premji, and Narayana Murty promoting Elon Musk's investment platform called Quantum AI.",Facebook,2025-08-12T09:36:08Z,False,https://www.thequint.com/news/webqoof/elon-musk-rajdeep-sardesai-deepfake-quantum-ai-fact-check,video show rajdeep sardesai nirmala sitharaman azim premji narayana murty promoting elon musk investment platform called quantum ai,images/news_14.jpg
Deepfake,A deepfake video shows YS Jagan Mohan Reddy referring to Hindi as the national language.,Social Media User,2025-07-17T00:00:00Z,FALSE,https://factly.in/this-viral-video-of-ys-jagan-stating-hindi-is-the-national-language-is-real-and-not-a-deepfake/,deepfake video show y jagan mohan reddy referring hindi national language,images/news_15.jpg
Deepfake,Princess Anne has been recorded making a number of claims about Queen Camilla and saying she will be leaving her fortune and title for Princess Charlotte to inherit.,Unknown,Unknown,These are deepfake audio clips where Princess Anne’s voice has been cloned. We could find no evidence of Princess Anne making any such comments.,https://fullfact.org/culture-and-society/princess-anne-deepfake-audio-video-compilations/,princess anne recorded making number claim queen camilla saying leaving fortune title princess charlotte inherit,images/news_16.jpg
Deepfake,Deepfake Alert! Nirmala Sitharaman’s Budget interview with PTI’s CEO & Editor-in-Chief shared with superimposed audio to falsely claim FM endorsed trading platform,PTI Fact Check,2025-06-29T21:06:09Z,False,https://www.ptinews.com/fact-detail/span-class%22pti-red-color%22-pti-fact-check-spandeepfake-alert-nirmala-sitharamans-budget-interview-with-ptis-ceo--editor-in-chief-shared-with-superimposed-audio-to-falsely-claim-fm-endorsed-trading-platform/2685381,deepfake alert nirmala sitharamans budget interview ptis ceo editorinchief shared superimposed audio falsely claim fm endorsed trading platform,images/news_17.jpg
Deepfake,"Vice President Sara Duterte is promoting an investment plan that claims to pay out as much as P1 million per month following an initial payment of P15,000.",Verdie Purdy,2025-07-16T06:41:18Z,False,https://www.rappler.com/newsbreak/fact-check/deepfake-sara-duterte-fake-investment-ad/,vice president sara duterte promoting investment plan claim pay much p million per month following initial payment p,images/news_18.jpg
Deepfake,"Senator Bam Aquino and several ABS-CBN broadcast journalists are promoting an investment plan that claims to pay out P175,",Philippine News,2025-07-15T01:00:00Z,False,https://www.rappler.com/newsbreak/fact-check/deepfake-videos-bam-aquino-journalists-used-investment-plan-ad/,senator bam aquino several abscbn broadcast journalist promoting investment plan claim pay p,images/news_19.jpg
Deepfake,A 45-second video claiming to show Israeli PM Benjamin Netanyahu saying his country and India will act against Iran and its “ally” Pakistan after the former threatened to annihilate Israel.,Viral social media post,2025-07-12T00:00:00Z,Altered Photo/Video,https://newschecker.in/ai-deepfake/deepfake-video-of-netanyahu-announcing-that-israel-will-team-up-with-india-to-take-on-iran-pakistan-shared-as-real,second video claiming show israeli pm benjamin netanyahu saying country india act iran ally pakistan former threatened annihilate israel,images/news_20.jpg
Deepfake,"Video of Gautam Adani promoting a high-income investment scheme and urging people to invest ₹21,000 to receive returns of ₹15 lakh within the first month",Social Media User,2025-07-06T00:00:00Z,FALSE,https://factly.in/deepfake-visuals-are-being-falsely-shared-as-gautam-adani-promoting-a-highly-profitable-investment-scheme/,video gautam adani promoting highincome investment scheme urging people invest receive return lakh within first month,images/news_21.jpg
Deepfake,External affairs minister S Jaishankar admits that India lost three Rafale fighter jets during Operation Sindoor.,Viral social media post,2025-07-04T00:00:00Z,Altered Photo/Video,https://newschecker.in/ai-deepfake/deepfake-video-of-s-jaishankar-allegedly-admitting-india-lost-3-rafale-fighter-jets-during-conflict-with-pakistan-shared-as-real,external affair minister jaishankar admits india lost three rafale fighter jet operation sindoor,images/news_22.jpg
Deepfake,The viral video shows scenes from a real tiger market in Bangladesh.,Social Media User,2025-06-28T00:00:00Z,FALSE,https://factly.in/this-video-of-an-alleged-tiger-market-in-bangladesh-is-a-deepfake-created-using-ai/,viral video show scene real tiger market bangladesh,images/news_23.jpg
Deepfake,Union Finance Minister Nirmala Sitharaman endorsed a government-backed money trading platform.,PTI Fact Check,2025-06-29T21:06:09Z,False,https://www.ptinews.com/fact-detail/pti-fact-check-deepfake-alert-nirmala-sitharaman-s-budget-interview-with-pti-s-ceo-editor-in-chief-shared-with-superimposed-audio-to-falsely-claim-fm-endorsed-trading-platform/2685381,union finance minister nirmala sitharaman endorsed governmentbacked money trading platform,images/news_24.jpg
Election fraud,"Viral posts claim Brazilian hairstylist Larissa Nery mocked Rahul Gandhi, calling him a “failed politician”, in a purported translation of her reaction to her photo allegedly being used to commit voter fraud in Haryana.",Viral social media post,2025-11-06T00:00:00Z,False,https://newschecker.in/fact-check/did-brazilian-woman-call-rahul-gandhi-a-failed-politician-after-vote-chori-presser-heres-the-truth-behind-viral-video,viral post claim brazilian hairstylist larissa nery mocked rahul gandhi calling failed politician purported translation reaction photo allegedly used commit voter fraud haryana,images/news_26.jpg
Election fraud,"In September 2025, former Democratic Georgia State Rep. Stacey Abrams was indicted on a voter fraud charge.",Unknown,Unknown,Labeled Satire,https://www.snopes.com/fact-check/stacey-abrams-indicted-voter-fraud/,september former democratic georgia state rep stacey abrams indicted voter fraud charge,images/news_32.jpg
Election fraud,"""States are merely an 'agent' for the Federal Government in counting and tabulating the votes. They must do what the Federal Government, as represented by the President of the United States, tells them, FOR THE GOOD OF OUR COUNTRY, to do.""",President Donald Trump,2025-08-18T00:00:00Z,False,https://www.factcheck.org/2025/08/factchecking-trumps-claims-about-mail-in-ballots-voting-machines-and-states-role/,state merely agent federal government counting tabulating vote must federal government represented president united state tell good country,images/news_33.jpg
Election fraud,"President Trump said the U.S. is ""now the only Country in the World that uses Mail-in Voting.”",President Donald Trump,2025-08-18T00:00:00Z,False,https://www.factcheck.org/2025/08/factchecking-trumps-claims-about-mail-in-ballots-voting-machines-and-states-role/,president trump said u country world us mailin voting,images/news_34.jpg
Election fraud,"""people that voted by mail are doing the Track My Vote thing, all 20 million that voted D that have reported so far say they were told they didn't vote ... 20 million missing Democrat votes.""",Social media posts,2024-11-06T00:00:00Z,No Evidence,https://www.factcheck.org/2024/11/both_sides_distort_incomplete_vote-counts_to_falsely_suggest_election_fraud/,people voted mail track vote thing million voted reported far say told didnt vote million missing democrat vote,images/news_43.jpg
Election fraud,"""Weird how +20 million Democrats just disappeared in a single election from 2020 to 2024 ... Joe Biden got 81 million votes Kamala got 60? Very Sus.""",Social media posts,2024-11-06T00:00:00Z,Distorts the Facts,https://www.factcheck.org/2024/11/both_sides_distort_incomplete_vote-counts_to_falsely_suggest_election_fraud/,weird million democrat disappeared single election joe biden got million vote kamala got sus,images/news_44.jpg
Election fraud,"""An interview by Tucker Carlson of an election expert indicates that 20% of the Mail-In Ballots in Pennsylvania are fraudulent.""",Donald Trump,2024-09-08T00:00:00Z,False,https://www.factcheck.org/2024/09/trumps-latest-bogus-claim-about-mail-in-vote-fraud-in-pennsylvania/,interview tucker carlson election expert indicates mailin ballot pennsylvania fraudulent,images/news_46.jpg
Election fraud,A bill signed into law this week by Michigan Gov. Gretchen Whitmer prohibits vote recounts based on election fraud allegations.,social media users,2024-07-12T19:37:12Z,False,https://apnews.com/article/fact-check-michigan-recount-election-fraud-bill-603-522850757927,bill signed law week michigan gov gretchen whitmer prohibits vote recount based election fraud allegation,images/news_47.jpg
Election fraud,Video shows vote rigging in Hyderabad’s Bahadurpura.,Viral Social Media Post,2024-05-15T00:00:00Z,False,https://newschecker.in/election-watch/old-video-from-west-bengal-shared-to-claim-vote-rigging-in-hyderabads-bahadurpura,video show vote rigging hyderabad bahadurpura,images/news_48.jpg
AI generated video,"Welcome to the world of AI slop. Short, AI-generated clips are flooding the internet, drowning out authentic and original stories. They may look harmless, but they are one of the biggest misinformation tools.",Unknown,2025-09-01T00:00:00Z,"Welcome to the world of AI slop. Short, AI-generated clips are flooding the internet, drowning out authentic and original stories. They may look harmless, but they are one of the biggest misinformation tools.",https://www.dw.com/en/fact-check-what-you-should-know-about-eight-second-ai-videos/video-74268855,welcome world ai slop short aigenerated clip flooding internet drowning authentic original story may look harmless one biggest misinformation tool,images/news_51.jpg
AI generated video,"This video shows a Chinese multipurpose machine that can harvest paddy, unload the crop, and has space for one to cook onboard.",Social Media User,2025-10-06T00:00:00Z,FALSE,https://factly.in/an-ai-generated-video-is-falsely-shared-as-real-visuals-of-a-chinese-multipurpose-paddy-harvesting-machine/,video show chinese multipurpose machine harvest paddy unload crop space one cook onboard,images/news_52.jpg
AI generated video,"The video shows Muslim migrants in New York protesting and demanding that Arabic be made the city’s official language, following Zohran Mamdani’s election.",Social Media User,2025-11-12T00:00:00Z,FALSE,https://factly.in/ai-generated-video-shared-as-showing-muslim-migrants-in-new-york-demanding-arabic-as-nycs-official-language/,video show muslim migrant new york protesting demanding arabic made city official language following zohran mamdanis election,images/news_53.jpg
AI generated video,"Video shows man filming the aftermath of the November 10, 2025 car explosion in Delhi.",Instagram user,2025-11-11T12:44:47Z,False,https://www.boomlive.in/fact-check/ai-video-falsely-claimed-as-delhi-blast-footage-near-red-fort-29956,video show man filming aftermath november car explosion delhi,images/news_55.jpg
AI generated video,Viral clip shows man flying off a building roof using a makeshift flying machine,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/viral-video-of-man-trying-to-fly-using-makeshift-wings-is-ai-generated/,viral clip show man flying building roof using makeshift flying machine,images/news_56.jpg
AI generated video,"The hospital video shows a man arguing with his wife after she gave birth to twin babies with dark skin, and the father refuses to accept them.",Social Media User,2025-11-03T00:00:00Z,FALSE,https://factly.in/video-of-a-white-woman-giving-birth-to-black-twins-is-ai-generated-and-not-a-real-incident/,hospital video show man arguing wife gave birth twin baby dark skin father refuse accept,images/news_58.jpg
AI generated video,"Video shows CCTV footage of a tiger attacking a man in Chandrapur, Maharashtra",Social Media Users,2025-11-10T11:28:30Z,False,https://www.boomlive.in/fact-check/tiger-attacking-man-cctv-footage-maharashtra-chandrapur-viral-video-ai-generated-fact-check-29945,video show cctv footage tiger attacking man chandrapur maharashtra,images/news_59.jpg
AI generated video,Video shows a crying Indian soldier telling PM Modi not to challenge Pakistan,Social Media Users,2025-12-01T08:11:13Z,False,https://www.boomlive.in/fact-check/indian-soldier-crying-telling-modi-not-to-challenge-pakistan-ai-video-viral-fact-check-30154,video show cry indian soldier telling pm modi challenge pakistan,images/news_60.jpg
AI generated video,The viral video shows real insects in the shape of flowers,Social Media User,2025-08-21T00:00:00Z,FALSE,https://factly.in/this-video-of-flower-shaped-insects-is-ai-generated-and-not-real/,viral video show real insect shape flower,images/news_61.jpg
AI generated video,The viral video showing a massive whirlpool in a water body depicts the impact of Cyclone Montha in Andhra Pradesh.,Social Media User,2025-10-29T00:00:00Z,FALSE,https://factly.in/this-video-of-a-massive-whirlpool-allegedly-showing-impact-of-cyclone-montha-is-ai-generated/,viral video showing massive whirlpool water body depicts impact cyclone montha andhra pradesh,images/news_63.jpg
AI generated video,A video filmed from above shows Hurricane Melissa approaching Jamaica.,Unknown,Unknown,This video isn’t genuine. It has been generated using artificial intelligence.,https://fullfact.org/environment/hurricane-melissa-video-from-above-ai/,video filmed show hurricane melissa approaching jamaica,images/news_65.jpg
AI generated video,"The video shows a man spraying a substance on unripe fruits, causing them to ripen instantly.",Social Media User,2025-09-29T00:00:00Z,FALSE,https://factly.in/video-of-fruits-instantly-ripening-after-being-sprayed-with-a-substance-is-ai-generated/,video show man spraying substance unripe fruit causing ripen instantly,images/news_66.jpg
AI generated video,"Video shows a lion entering an under-construction building in Dhari district, Amreli, Gujarat, and sniffing sleeping workers.",Social Media User,2025-06-25T00:00:00Z,FALSE,https://factly.in/a-deepfake-video-of-a-lion-entering-an-under-construction-building-is-falsely-shared-as-a-real-incident-from-gujarat/,video show lion entering underconstruction building dhari district amreli gujarat sniffing sleeping worker,images/news_67.jpg
AI generated video,The video shows an amusement park ride collapse in which 536 people died.,Social Media User,2025-10-05T00:00:00Z,FALSE,https://factly.in/an-ai-generated-video-of-an-amusement-park-ride-collapse-is-being-shared-as-a-real-incident/,video show amusement park ride collapse people died,images/news_68.jpg
AI generated video,Video shows late singer Zubeen Garg receiving CPR in Singapore before his death,Social Media Users,2025-09-25T12:27:16Z,False,https://www.boomlive.in/fact-check/assamese-singer-zubeen-garg-singapore-scuba-diving-death-cpr-video-viral-ai-generated-fact-check-29588,video show late singer zubeen garg receiving cpr singapore death,images/news_69.jpg
AI generated video,The viral video shows real footage of a cloudburst.,Social Media User,2025-08-14T00:00:00Z,FALSE,https://factly.in/this-viral-video-showing-a-cloudburst-is-ai-generated/,viral video show real footage cloudburst,images/news_70.jpg
AI generated video,Videos show real footage of Ram Setu.,Social media users,2025-04-14T08:05:46Z,False,https://www.boomlive.in/fact-check/ram-setu-underwater-footage-ai-generated-fake-synthetic-media-28276,video show real footage ram setu,images/news_72.jpg
AI generated video,"An eight-second video shows a motorcyclist falling into a rainwater-filled pothole in a road pavement in Mexico City, with a TV reporter on location saying, “Oh. Another one is gone.”",Viral social media post,2025-06-16T00:00:00Z,"False. The video was created with Veo, Google's video generative model.",https://annielab.org/2025/06/17/false-ai-video-made-with-google-model-confused-internet-users-as-real-tv-news/,eightsecond video show motorcyclist falling rainwaterfilled pothole road pavement mexico city tv reporter location saying oh another one gone,images/news_73.jpg
AI generated video,These three videos show Iran's attacks on Israel and the damage caused by them.,Social Media Users,2025-06-18T00:00:00Z,False,https://www.indiatoday.in/fact-check/story/fact-check-google-veo-3-realistic-ai-videos-from-iran-israel-2742661-2025-06-18,three video show iran attack israel damage caused,images/news_74.jpg
Scam,Are there Halloween scams?,Unknown,Unknown,True,https://www.wcnc.com/article/news/verify/halloween-shoppers-online-costume-scams/275-39c62b6a-f6c0-448d-927f-e88f4e0bed0b,halloween scam,images/news_77.jpg
Scam,Is the viral text claiming NC Medicaid coverage loss a scam?,North Carolina Department of Health and Human Services,Unknown,True,https://www.wcnc.com/article/news/verify/scam-texts-falsely-claim-nc-medicaid-coverage-loss/275-83d254cf-f908-4185-b256-dce9addb2b92,viral text claiming nc medicaid coverage loss scam,images/news_83.jpg
Scam,Emails offering paid appearances on popular podcasts,people impersonating popular podcast producers,Unknown,False,https://www.wkyc.com/article/news/verify/paid-podcast-guest-appearance-scam-email-stolen-social-media-account-recovery-verify/95-58ee9f27-e51d-4850-8115-ee5bc2eebc04,email offering paid appearance popular podcasts,images/news_84.jpg
Scam,Person sending fake Facebook employee ID badge photo can fix account issue,Sent via text message,Unknown,False,https://www.wkyc.com/article/news/verify/texting-scam-facebook-employee-id-badge-fake-phishing-scam-verify/95-5158fa92-e12c-45f0-b683-824c46e5348f,person sending fake facebook employee id badge photo fix account issue,images/news_85.jpg
Scam,Scammers target taxpayers applying for IRS 'offers in compromise' program,IRS,Unknown,True,https://www.wkyc.com/article/news/verify/scammers-target-taxpayers-irs-offer-in-compromise-debt-settlement-program-2025-dirty-dozen-scam-report-verify/95-d76c6f60-c3de-4db3-a5f6-e7dee3581d32,scammer target taxpayer applying irs offer compromise program,images/news_86.jpg
Scam,Publishers Clearing House is most impersonated organization for 2024,Better Business Bureau,Unknown,True,https://www.wkyc.com/article/news/verify/most-impersonated-organizations-publishers-clearing-house-post-office-paypal-amazon-spectrum-2024-bbb-scam-tracker-risk-report-verify-fast-facts/95-de45173a-434e-4b3c-8f1d-5787018992b8,publisher clearing house impersonated organization,images/news_87.jpg
Scam,Employment scams were the second riskiest type of scam reported in 2024,Better Business Bureau,Unknown,True,https://www.wkyc.com/article/news/verify/better-business-bureau-cleveland-verify-fast-facts-employment-scams-identifying/95-51ba7537-1ef4-4735-bc13-52cd8399f43e,employment scam second riskiest type scam reported,images/news_88.jpg
Scam,Ohio Turnpike is sending text messages to collect unpaid toll bills,Unknown,Unknown,False,https://www.wkyc.com/article/news/verify/unpaid-toll-bill-text-message-scam-verify/95-e7402b73-bd8c-438b-89e2-e21cc387b4eb,ohio turnpike sending text message collect unpaid toll bill,images/news_90.jpg
Scam,Meta email through AppSheet warns of permanent account deactivation,Email,Unknown,False,https://www.wkyc.com/article/news/verify/meta-business-team-account-deleted-appsheet-phishing-scam-verify/95-c4e15e16-494a-4fc1-8b91-3c51f12d0d48,meta email appsheet warns permanent account deactivation,images/news_93.jpg
Scam,Are HCTRA customers receiving toll scam texts?,Unknown,Unknown,True,https://www.khou.com/article/news/verify/khou-11-verify/yes-hctra-customers-are-receiving-toll-scam-texts/285-732ae80e-fffd-4e15-8de8-4cc047d4dff6,hctra customer receiving toll scam text,images/news_94.jpg
Scam,QR codes can be used for scams in unknown packages.,Unknown,Unknown,True,https://www.wcnc.com/article/news/verify/package-scam-qr-code-12-3-2024/275-a39f0a2c-275e-4d1b-a467-41a4fe95874d,qr code used scam unknown package,images/news_95.jpg
Scam,Prime Minister Anthony Albanese is promoting a guaranteed investment scheme.,Social media users,2024-11-08T00:00:00Z,False. It’s a scam and the video of Mr Albanese has been manipulated using artificial intelligence.,https://www.aap.com.au/factcheck/anthony-albanese-video-manipulated-in-ai-scam/,prime minister anthony albanese promoting guaranteed investment scheme,images/news_96.jpg
Scam,USPS will text customers asking them to confirm their address.,United States Postal Inspection Service,Unknown,False,https://www.wcnc.com/article/news/verify/usps-parcel-being-cleared-text-message-scam-warning-phishing-identity-theft/275-6970c605-991b-46c9-b34c-de76e4bf79b7,usps text customer asking confirm address,images/news_97.jpg
Scam,Is it safe to enter *72 or **21 on your phone followed an unknown number?,Bank of America,Unknown,False,https://www.wkyc.com/article/news/verify/call-forwarding-scams-can-be-used-to-try-to-scam-you-out-of-your-money-verify-star-72-star-star-21/95-c58f4169-7c93-4525-b937-f963a7d6744f,safe enter phone followed unknown number,images/news_98.jpg
Viral conspiracy,Italy defied the WHO orders of not conducting autopsy,Social media,2016-06-20T00:00:00Z,False,https://www.altnews.in/italy-defeated-covid-19-misinformation-riddled-conspiracy-theory-viral/,italy defied order conducting autopsy,images/news_101.jpg
Viral conspiracy,"Former Rep. Trey Gowdy wrote a viral post claiming the COVID-19 pandemic was planned and it ""all seems rather convenient for the nations and opponents of our current President and economy 5 months before an election.”",Social media posts,2020-04-22T00:00:00Z,False,https://www.factcheck.org/2020/05/gowdy-didnt-author-viral-conspiracy-theory/,former rep trey gowdy wrote viral post claiming covid pandemic planned seems rather convenient nation opponent current president economy month election,images/news_102.jpg
Viral conspiracy,Lone survivor of Air India plane crash seen walking into crash site before re-emerging,"Aatish Arya, @sanju_bob_thakor_mahadev_, @lordshivom, @AmitSingh0208,",2016-06-20T00:00:00Z,Mostly False,https://www.altnews.in/clip-of-air-india-crash-survivor-vishwas-kumar-ramesh-going-back-to-look-for-brother-viral-with-conspiracy-theories/,lone survivor air india plane crash seen walking crash site reemerging,images/news_103.jpg
Viral conspiracy,Images of coronavirus vaccine imported by India from USA to kill a section of the population under the garb of medication,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/viral-audio-false-conspiracy-theory-about-modi-govt-introducing-vaccine-to-kill-muslims/,image coronavirus vaccine imported india usa kill section population garb medication,images/news_104.jpg
Viral conspiracy,"Charlie Kirk isn't dead and was wearing a ""blood bag"" before he was allegedly shot.",A Facebook user.,2025-09-14T10:00:00Z,False. Footage of the shooting is inconsistent with a blood bag being concealed in his T-shirt and the visible bulge is a microphone.,https://www.aap.com.au/factcheck/viral-conspiracy-theory-about-charlie-kirks-death-is-false/,charlie kirk isnt dead wearing blood bag allegedly shot,images/news_105.jpg
Viral conspiracy,"""Deep State"" Democrats coordinated the attack on two oil tankers and a U.S. drone last year, then celebrated because they ""dragged Trump into war.""",Social media posts,2020-02-09T00:00:00Z,False,https://www.factcheck.org/2020/02/viral-posts-spread-iran-deep-state-conspiracy-theory/,deep state democrat coordinated attack two oil tanker u drone last year celebrated dragged trump war,images/news_107.jpg
Viral conspiracy,2009 show based on conspiracy theories is shared as proof of WHO working on COVID-19 vaccines to create permanent sterility,Fb user: Lukasz Igla,2023-03-28T12:41:38Z,False,https://www.vishvasnews.com/english/health/fact-check-conspiracy-theory-about-covid-19-vaccines-and-sterility-is-viral-again-2009-video-has-false-information/,show based conspiracy theory shared proof working covid vaccine create permanent sterility,images/news_108.jpg
Viral conspiracy,Video of Indian rupee notes scattered by a Muslim person in Indore to spread coronavirus,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/video-of-currency-notes-found-on-indore-road-shared-with-false-claim-that-it-was-muslims-conspiracy-to-spread-coronavirus/,video indian rupee note scattered muslim person indore spread coronavirus,images/news_109.jpg
Viral conspiracy,"“The new fad disease called the ‘coronavirus’ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.”",Social media posts,2020-01-21T00:00:00Z,False,https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory/,new fad disease called coronavirus sweeping headline funny enough patent coronavirus filed granted,images/news_110.jpg
Climate change hoax,"""They don’t call it [global warming] anymore, they call it climate change because, you know, some parts of the planet are cooling and warming.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,dont call global warming anymore call climate change know part planet cooling warming,images/news_111.jpg
Climate change hoax,"Scientists ""have no idea what’s going to happen [with climate change]. It’s weather.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,scientist idea whats going happen climate change weather,images/news_112.jpg
Climate change hoax,"""The wind doesn’t work ... It’s the most expensive energy.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,wind doesnt work expensive energy,images/news_113.jpg
Climate change hoax,"Scientists predicted ""we have 12 years to live"" because of climate change.",Donald Trump,2024-08-26T00:00:00Z,Spins the Facts,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,scientist predicted year live climate change,images/news_114.jpg
Climate change hoax,"""Coal is okay, they actually have methods now where coal becomes clean coal.”",Donald Trump,2024-08-26T00:00:00Z,Not the Whole Story,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,coal okay actually method coal becomes clean coal,images/news_115.jpg
Climate change hoax,"“You know, years ago they used to call it global cooling.""",Donald Trump,2024-08-26T00:00:00Z,Misleading,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,know year ago used call global cooling,images/news_116.jpg
Climate change hoax,"""Every nine years you have to replace the [wind] turbines. You know, they’re made out of steel and they wear out.”",Donald Trump,2024-08-26T00:00:00Z,Exaggerates,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/,every nine year replace wind turbine know theyre made steel wear,images/news_117.jpg
Climate change hoax,"Judith Curry gets no media coverage and she says climate changes is a ""hoax.""",Social media posts,2023-12-04T00:00:00Z,False,https://www.factcheck.org/2023/12/scicheck-meme-makes-misleading-comparison-to-cast-doubt-on-climate-change/,judith curry get medium coverage say climate change hoax,images/news_119.jpg
Climate change hoax,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",Hillary Clinton,2016-06-02T00:00:00Z,Mostly True,https://www.politifact.com/factchecks/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/,say donald trump say climate change hoax invented chinese,images/news_122.jpg
Climate change hoax,Man-made climate change is a hoax,social media users,2021-04-19T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2021/04/22/fact-check-scientific-consensus-humans-main-cause-climate-change/7336153002/,manmade climate change hoax,images/news_125.jpg
Climate change hoax,"Viral posts claim that climate change is a ""made-up catastrophe.""",Social media posts,2019-04-28T00:00:00Z,False,https://www.factcheck.org/2019/05/no-climate-change-isnt-made-up/,viral post claim climate change madeup catastrophe,images/news_126.jpg
