Topic,Claim (Fake News),Who Said It,Date,Actual Rating,Proof Link
Election fraud,Ballot challenges prove Trump committed election fraud in Pennsylvania,Multiple authors,2024-11-06T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36LR378
Election fraud,"Image of truck with ballots is from 2024, proof of election fraud",Social media,2024-11-05T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/11/07/ballots-truck-not-voter-fraud-fact-check/76095397007/
Election fraud,RCMP confirm voter fraud occurred in British Columbia in 2024,Toronto99,2024-10-27T00:00:00Z,Misleading,https://factcheck.afp.com/doc.afp.com.36L368J
Election fraud,"""people that voted by mail are doing the Track My Vote thing, all 20 million that voted D that have reported so far say they were told they didn't vote ... 20 million missing Democrat votes.""",Social media posts,2024-11-06T00:00:00Z,No Evidence,https://www.factcheck.org/2024/11/both_sides_distort_incomplete_vote-counts_to_falsely_suggest_election_fraud/
Election fraud,"""Weird how +20 million Democrats just disappeared in a single election from 2020 to 2024 ... Joe Biden got 81 million votes Kamala got 60? Very Sus.""",Social media posts,2024-11-06T00:00:00Z,Distorts the Facts,https://www.factcheck.org/2024/11/both_sides_distort_incomplete_vote-counts_to_falsely_suggest_election_fraud/
Election fraud,Photo shows fraudulently discarded Republican ballots in US election,Multiple sources,2024-11-06T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36LM4UE
Election fraud,"""An interview by Tucker Carlson of an election expert indicates that 20% of the Mail-In Ballots in Pennsylvania are fraudulent.""",Donald Trump,2024-09-08T00:00:00Z,False,https://www.factcheck.org/2024/09/trumps-latest-bogus-claim-about-mail-in-vote-fraud-in-pennsylvania/
Election fraud,A bill signed into law this week by Michigan Gov. Gretchen Whitmer prohibits vote recounts based on election fraud allegations.,social media users,2024-07-12T19:37:12Z,False,https://apnews.com/article/fact-check-michigan-recount-election-fraud-bill-603-522850757927
Election fraud,Video shows vote rigging in Hyderabad’s Bahadurpura.,Viral Social Media Post,2024-05-15T00:00:00Z,False,https://newschecker.in/election-watch/old-video-from-west-bengal-shared-to-claim-vote-rigging-in-hyderabads-bahadurpura
Election fraud,Federal election agency ruled there was fraud in 2020 election,Social media,2024-05-11T00:00:00Z,False,https://www.usatoday.com/story/news/factcheck/2024/05/15/no-2020-election-fraud-report-fact-check/73689236007/
AI generated video,Video of hailstorm in Canada,Multiple type,2025-10-31T00:00:00Z,AI-generated,https://factcheck.afp.com/doc.afp.com.83NJ8ZT
AI generated video,"Welcome to the world of AI slop. Short, AI-generated clips are flooding the internet, drowning out authentic and original stories. They may look harmless, but they are one of the biggest misinformation tools.",Unknown,2025-09-01T00:00:00Z,"Welcome to the world of AI slop. Short, AI-generated clips are flooding the internet, drowning out authentic and original stories. They may look harmless, but they are one of the biggest misinformation tools.",https://www.dw.com/en/fact-check-what-you-should-know-about-eight-second-ai-videos/video-74268855
AI generated video,"This video shows a Chinese multipurpose machine that can harvest paddy, unload the crop, and has space for one to cook onboard.",Social Media User,2025-10-06T00:00:00Z,FALSE,https://factly.in/an-ai-generated-video-is-falsely-shared-as-real-visuals-of-a-chinese-multipurpose-paddy-harvesting-machine/
AI generated video,"The video shows Muslim migrants in New York protesting and demanding that Arabic be made the city’s official language, following Zohran Mamdani’s election.",Social Media User,2025-11-12T00:00:00Z,FALSE,https://factly.in/ai-generated-video-shared-as-showing-muslim-migrants-in-new-york-demanding-arabic-as-nycs-official-language/
AI generated video,23 year old Ukrainian soldier cries as he's sent to the frontlines,Multiple people,2025-11-03T00:00:00Z,AI-generated,https://factcheck.afp.com/doc.afp.com.84J699E
AI generated video,"Video shows man filming the aftermath of the November 10, 2025 car explosion in Delhi.",Instagram user,2025-11-11T12:44:47Z,False,https://www.boomlive.in/fact-check/ai-video-falsely-claimed-as-delhi-blast-footage-near-red-fort-29956
AI generated video,Viral clip shows man flying off a building roof using a makeshift flying machine,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/viral-video-of-man-trying-to-fly-using-makeshift-wings-is-ai-generated/
AI generated video,Videos show destruction in Tel Aviv following Iranian attacks,Multiple sources,2025-06-15T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.62H69WE
AI generated video,"The hospital video shows a man arguing with his wife after she gave birth to twin babies with dark skin, and the father refuses to accept them.",Social Media User,2025-11-03T00:00:00Z,FALSE,https://factly.in/video-of-a-white-woman-giving-birth-to-black-twins-is-ai-generated-and-not-a-real-incident/
AI generated video,"Video shows CCTV footage of a tiger attacking a man in Chandrapur, Maharashtra",Social Media Users,2025-11-10T11:28:30Z,False,https://www.boomlive.in/fact-check/tiger-attacking-man-cctv-footage-maharashtra-chandrapur-viral-video-ai-generated-fact-check-29945
AI generated video,Video shows a crying Indian soldier telling PM Modi not to challenge Pakistan,Social Media Users,2025-12-01T08:11:13Z,False,https://www.boomlive.in/fact-check/indian-soldier-crying-telling-modi-not-to-challenge-pakistan-ai-video-viral-fact-check-30154
AI generated video,The viral video shows real insects in the shape of flowers,Social Media User,2025-08-21T00:00:00Z,FALSE,https://factly.in/this-video-of-flower-shaped-insects-is-ai-generated-and-not-real/
AI generated video,Genuine clips of monsoon floods in India,Multiple Sources,2025-08-28T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.73YP39E
AI generated video,The viral video showing a massive whirlpool in a water body depicts the impact of Cyclone Montha in Andhra Pradesh.,Social Media User,2025-10-29T00:00:00Z,FALSE,https://factly.in/this-video-of-a-massive-whirlpool-allegedly-showing-impact-of-cyclone-montha-is-ai-generated/
AI generated video,Video shows Israel was under attack by seven Middle east nations,Multiple sources,2024-10-06T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36Q89Q2
AI generated video,A video filmed from above shows Hurricane Melissa approaching Jamaica.,Unknown,Unknown,This video isn’t genuine. It has been generated using artificial intelligence.,https://fullfact.org/environment/hurricane-melissa-video-from-above-ai/
AI generated video,"The video shows a man spraying a substance on unripe fruits, causing them to ripen instantly.",Social Media User,2025-09-29T00:00:00Z,FALSE,https://factly.in/video-of-fruits-instantly-ripening-after-being-sprayed-with-a-substance-is-ai-generated/
AI generated video,"Video shows a lion entering an under-construction building in Dhari district, Amreli, Gujarat, and sniffing sleeping workers.",Social Media User,2025-06-25T00:00:00Z,FALSE,https://factly.in/a-deepfake-video-of-a-lion-entering-an-under-construction-building-is-falsely-shared-as-a-real-incident-from-gujarat/
AI generated video,The video shows an amusement park ride collapse in which 536 people died.,Social Media User,2025-10-05T00:00:00Z,FALSE,https://factly.in/an-ai-generated-video-of-an-amusement-park-ride-collapse-is-being-shared-as-a-real-incident/
AI generated video,Video shows late singer Zubeen Garg receiving CPR in Singapore before his death,Social Media Users,2025-09-25T12:27:16Z,False,https://www.boomlive.in/fact-check/assamese-singer-zubeen-garg-singapore-scuba-diving-death-cpr-video-viral-ai-generated-fact-check-29588
AI generated video,The viral video shows real footage of a cloudburst.,Social Media User,2025-08-14T00:00:00Z,FALSE,https://factly.in/this-viral-video-showing-a-cloudburst-is-ai-generated/
AI generated video,Video of a lion in South African supermarket,Multiple sources,2025-06-14T00:00:00Z,AI-generated,https://factcheck.afp.com/doc.afp.com.62V68T6
AI generated video,Videos show real footage of Ram Setu.,Social media users,2025-04-14T08:05:46Z,False,https://www.boomlive.in/fact-check/ram-setu-underwater-footage-ai-generated-fake-synthetic-media-28276
AI generated video,"An eight-second video shows a motorcyclist falling into a rainwater-filled pothole in a road pavement in Mexico City, with a TV reporter on location saying, “Oh. Another one is gone.”",Viral social media post,2025-06-16T00:00:00Z,"False. The video was created with Veo, Google's video generative model.",https://annielab.org/2025/06/17/false-ai-video-made-with-google-model-confused-internet-users-as-real-tv-news/
AI generated video,These three videos show Iran's attacks on Israel and the damage caused by them.,Social Media Users,2025-06-18T00:00:00Z,False,https://www.indiatoday.in/fact-check/story/fact-check-google-veo-3-realistic-ai-videos-from-iran-israel-2742661-2025-06-18
Scam,Clip shows Chinese offficial dodging question about SIM cards in scam parks,Multiple persons,2025-11-06T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.83PD3WF
Scam,Video of a raid on Myanmar scam centre.,Multiple sources,2025-10-20T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.82TM4KE
Scam,Are there Halloween scams?,Unknown,Unknown,True,https://www.wcnc.com/article/news/verify/halloween-shoppers-online-costume-scams/275-39c62b6a-f6c0-448d-927f-e88f4e0bed0b
Scam,"Video showing bombing on KK Park compound on October 24, 2025",Multiple sources,2025-10-24T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.824E663
Scam,Nigerian influencer promoting get-rich-quick scheme,TheRatel,2025-09-24T00:00:00Z,AI-generated,https://factcheck.afp.com/doc.afp.com.79MC8T3
Scam,Footage shows site of South Korean kidnappings in Cambodia,Multiple sources,2025-10-21T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.79GE49E
Scam,Malaysian border control officer advise on Indonesian passport application,Multiple Sources,2025-07-17T00:00:00Z,Altered video,https://factcheck.afp.com/doc.afp.com.723D89K
Scam,Nigeria scammer cons Donald Trump,Shola,2025-07-04T00:00:00Z,Misleading,https://factcheck.afp.com/doc.afp.com.66DN6KE
Scam,Is the viral text claiming NC Medicaid coverage loss a scam?,North Carolina Department of Health and Human Services,Unknown,True,https://www.wcnc.com/article/news/verify/scam-texts-falsely-claim-nc-medicaid-coverage-loss/275-83d254cf-f908-4185-b256-dce9addb2b92
Scam,Emails offering paid appearances on popular podcasts,people impersonating popular podcast producers,Unknown,False,https://www.wkyc.com/article/news/verify/paid-podcast-guest-appearance-scam-email-stolen-social-media-account-recovery-verify/95-58ee9f27-e51d-4850-8115-ee5bc2eebc04
Scam,Person sending fake Facebook employee ID badge photo can fix account issue,Sent via text message,Unknown,False,https://www.wkyc.com/article/news/verify/texting-scam-facebook-employee-id-badge-fake-phishing-scam-verify/95-5158fa92-e12c-45f0-b683-824c46e5348f
Scam,Scammers target taxpayers applying for IRS 'offers in compromise' program,IRS,Unknown,True,https://www.wkyc.com/article/news/verify/scammers-target-taxpayers-irs-offer-in-compromise-debt-settlement-program-2025-dirty-dozen-scam-report-verify/95-d76c6f60-c3de-4db3-a5f6-e7dee3581d32
Scam,Publishers Clearing House is most impersonated organization for 2024,Better Business Bureau,Unknown,True,https://www.wkyc.com/article/news/verify/most-impersonated-organizations-publishers-clearing-house-post-office-paypal-amazon-spectrum-2024-bbb-scam-tracker-risk-report-verify-fast-facts/95-de45173a-434e-4b3c-8f1d-5787018992b8
Scam,Employment scams were the second riskiest type of scam reported in 2024,Better Business Bureau,Unknown,True,https://www.wkyc.com/article/news/verify/better-business-bureau-cleveland-verify-fast-facts-employment-scams-identifying/95-51ba7537-1ef4-4735-bc13-52cd8399f43e
Scam,Video of Thai PM saying military will be deployed to combat scam centres,Multiple sources,2025-01-11T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36X39BM
Scam,Ohio Turnpike is sending text messages to collect unpaid toll bills,Unknown,Unknown,False,https://www.wkyc.com/article/news/verify/unpaid-toll-bill-text-message-scam-verify/95-e7402b73-bd8c-438b-89e2-e21cc387b4eb
Scam,Authentic online lucky draw registration of Malaysian bank,Multiple sources,2025-01-21T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36XK88W
Scam,$1000 stimulus relief card is available in US,Multiple people,2024-01-02T00:00:00Z,False,https://factcheck.afp.com/doc.afp.com.36T89C6
Scam,Meta email through AppSheet warns of permanent account deactivation,Email,Unknown,False,https://www.wkyc.com/article/news/verify/meta-business-team-account-deleted-appsheet-phishing-scam-verify/95-c4e15e16-494a-4fc1-8b91-3c51f12d0d48
Scam,Are HCTRA customers receiving toll scam texts?,Unknown,Unknown,True,https://www.khou.com/article/news/verify/khou-11-verify/yes-hctra-customers-are-receiving-toll-scam-texts/285-732ae80e-fffd-4e15-8de8-4cc047d4dff6
Scam,QR codes can be used for scams in unknown packages.,Unknown,Unknown,True,https://www.wcnc.com/article/news/verify/package-scam-qr-code-12-3-2024/275-a39f0a2c-275e-4d1b-a467-41a4fe95874d
Scam,Prime Minister Anthony Albanese is promoting a guaranteed investment scheme.,Social media users,2024-11-08T00:00:00Z,False. It’s a scam and the video of Mr Albanese has been manipulated using artificial intelligence.,https://www.aap.com.au/factcheck/anthony-albanese-video-manipulated-in-ai-scam/
Scam,USPS will text customers asking them to confirm their address.,United States Postal Inspection Service,Unknown,False,https://www.wcnc.com/article/news/verify/usps-parcel-being-cleared-text-message-scam-warning-phishing-identity-theft/275-6970c605-991b-46c9-b34c-de76e4bf79b7
Scam,Is it safe to enter *72 or **21 on your phone followed an unknown number?,Bank of America,Unknown,False,https://www.wkyc.com/article/news/verify/call-forwarding-scams-can-be-used-to-try-to-scam-you-out-of-your-money-verify-star-72-star-star-21/95-c58f4169-7c93-4525-b937-f963a7d6744f
Scam,Arvind Kejriwal Blame Manish Sisodia For The Liquor Scam,Social media,2024-06-26T00:00:00Z,False,https://www.newsmobile.in/nm-fact-checker/fact-check-did-delhi-cm-kejriwal-blame-sisodia-for-the-liquor-scam-heres-the-truth/
Viral conspiracy,The Pfizer-BioNTech coronavirus vaccine could cause infertility in women.,Social media posts,2020-12-10T00:00:00Z,False,https://www.nytimes.com/live/2020/2020-election-misinformation-distortions
Viral conspiracy,Italy defied the WHO orders of not conducting autopsy,Social media,2016-06-20T00:00:00Z,False,https://www.altnews.in/italy-defeated-covid-19-misinformation-riddled-conspiracy-theory-viral/
Viral conspiracy,"Former Rep. Trey Gowdy wrote a viral post claiming the COVID-19 pandemic was planned and it ""all seems rather convenient for the nations and opponents of our current President and economy 5 months before an election.”",Social media posts,2020-04-22T00:00:00Z,False,https://www.factcheck.org/2020/05/gowdy-didnt-author-viral-conspiracy-theory/
Viral conspiracy,Lone survivor of Air India plane crash seen walking into crash site before re-emerging,"Aatish Arya, @sanju_bob_thakor_mahadev_, @lordshivom, @AmitSingh0208,",2016-06-20T00:00:00Z,Mostly False,https://www.altnews.in/clip-of-air-india-crash-survivor-vishwas-kumar-ramesh-going-back-to-look-for-brother-viral-with-conspiracy-theories/
Viral conspiracy,Images of coronavirus vaccine imported by India from USA to kill a section of the population under the garb of medication,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/viral-audio-false-conspiracy-theory-about-modi-govt-introducing-vaccine-to-kill-muslims/
Viral conspiracy,"Charlie Kirk isn't dead and was wearing a ""blood bag"" before he was allegedly shot.",A Facebook user.,2025-09-14T10:00:00Z,False. Footage of the shooting is inconsistent with a blood bag being concealed in his T-shirt and the visible bulge is a microphone.,https://www.aap.com.au/factcheck/viral-conspiracy-theory-about-charlie-kirks-death-is-false/
Viral conspiracy,The Covid-19 pandemic is a hoax and was deliberately planned,Multiple sources,2020-06-22T00:00:00Z,1,https://factcheck.afp.com/conspiracy-theorist-hoax-pandemic-video-goes-viral-despite-facebook-ban
Viral conspiracy,"""Deep State"" Democrats coordinated the attack on two oil tankers and a U.S. drone last year, then celebrated because they ""dragged Trump into war.""",Social media posts,2020-02-09T00:00:00Z,False,https://www.factcheck.org/2020/02/viral-posts-spread-iran-deep-state-conspiracy-theory/
Viral conspiracy,2009 show based on conspiracy theories is shared as proof of WHO working on COVID-19 vaccines to create permanent sterility,Fb user: Lukasz Igla,2023-03-28T12:41:38Z,False,https://www.vishvasnews.com/english/health/fact-check-conspiracy-theory-about-covid-19-vaccines-and-sterility-is-viral-again-2009-video-has-false-information/
Viral conspiracy,Video of Indian rupee notes scattered by a Muslim person in Indore to spread coronavirus,social media users,2016-06-20T00:00:00Z,False,https://www.altnews.in/video-of-currency-notes-found-on-indore-road-shared-with-false-claim-that-it-was-muslims-conspiracy-to-spread-coronavirus/
Viral conspiracy,"“The new fad disease called the ‘coronavirus’ is sweeping headlines. Funny enough, there was a patent for the coronavirus was filed in 2015 and granted in 2018.”",Social media posts,2020-01-21T00:00:00Z,False,https://www.factcheck.org/2020/01/social-media-posts-spread-bogus-coronavirus-conspiracy-theory/
Climate change hoax,"""They don’t call it [global warming] anymore, they call it climate change because, you know, some parts of the planet are cooling and warming.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"Scientists ""have no idea what’s going to happen [with climate change]. It’s weather.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"""The wind doesn’t work ... It’s the most expensive energy.""",Donald Trump,2024-08-26T00:00:00Z,False,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"Scientists predicted ""we have 12 years to live"" because of climate change.",Donald Trump,2024-08-26T00:00:00Z,Spins the Facts,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"""Coal is okay, they actually have methods now where coal becomes clean coal.”",Donald Trump,2024-08-26T00:00:00Z,Not the Whole Story,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"“You know, years ago they used to call it global cooling.""",Donald Trump,2024-08-26T00:00:00Z,Misleading,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,"""Every nine years you have to replace the [wind] turbines. You know, they’re made out of steel and they wear out.”",Donald Trump,2024-08-26T00:00:00Z,Exaggerates,https://www.factcheck.org/2024/09/trump-clings-to-inaccurate-climate-change-talking-points/
Climate change hoax,“The climate change agenda is a hoax … The reality is more people are dying of bad climate change policies than they are of actual climate change.”,Vivek Ramaswamy,2023-08-23T00:00:00Z,Four Pinocchios,https://www.washingtonpost.com/politics/2023/08/25/vivek-ramaswamy-says-hoax-agenda-kills-more-people-than-climate-change/
